uid,domainID,siteID,namedLocation,aquaticSiteType,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,geodeticDatum,startDate,endDate,reachID,samplingProtocolVersion,samplingImpractical,reachCondition,measuredReachLength,fixedRandomReach,identifiedBy,aCollectedBy,bCollectedBy,cCollectedBy,remarks
"8fbfba9d-24b9-426e-b87e-e468fb01a23e","D05","LIRO","LIRO.AOS.riparian.point.10","lake",45.998977,-89.706329,0.1,497.1,0.1,"WGS84","2017-09-18","2017-09-18","LIRO.20170918.10","NEON.DOC.001295vD",,,,"random","jhudson@neoninc.org","hbeeler@battelleecology.org","Radams@battelleecology.org","shoffman@field-ops.org",
"bfa1375d-68c3-4e37-8bea-7c04f1b26c27","D05","LIRO","LIRO.AOS.riparian.point.02","lake",45.998970,-89.702490,0.3,497.0,0.3,"WGS84","2017-09-18","2017-09-18","LIRO.20170918.02","NEON.DOC.001295vD",,,,"fixed","jhudson@neoninc.org","radams@battelleecology.org","hbeeler@battelleecology.org","shoffman@field-ops.org",
"9e5b3546-6f12-4b35-ba78-7a8f70c696ec","D05","LIRO","LIRO.AOS.riparian.point.10","lake",45.998977,-89.706329,0.1,497.1,0.1,"WGS84","2017-09-18","2017-09-18","LIRO.20170918.10","NEON.DOC.001296vC",,,,"random","jhudson@battelleecology.org","radams@battelleecology.org","hbeeler@battelleecology.org","shoffman@battelleecology.org",
"e58b5238-6867-471c-9038-757c5a56b77e","D05","LIRO","LIRO.AOS.riparian.point.02","lake",45.998970,-89.702490,0.3,497.0,0.3,"WGS84","2017-09-18","2017-09-18","LIRO.20170918.02","NEON.DOC.001296vC",,,,"fixed","jhudson@battelleecology.org","radams@battelleecology.org","hbeeler@battelleecology.org","shoffman@battelleecology.org",
"afab986a-2703-40d9-b920-3bd4dec0031f","D05","LIRO","LIRO.AOS.riparian.point.07","lake",45.995426,-89.704281,0.3,496.3,0.5,"WGS84","2017-09-19","2017-09-19","LIRO.20170919.07","NEON.DOC.001296vC",,,,"fixed","jhudson@battelleecology.org","radams@battelleecology.org","hbeeler@battelleecology.org","shoffman@battelleecology.org",
"9a8a938d-77af-4d1a-aaf9-40d358f1fb28","D05","LIRO","LIRO.AOS.riparian.point.09","lake",45.997072,-89.705716,0.2,500.2,0.2,"WGS84","2017-09-19","2017-09-19","LIRO.20170919.09","NEON.DOC.001296vC",,,,"fixed","jhudson@battelleecology.org",,,,
"c813a4fb-2c1c-4b09-8bdb-39fff4e55b03","D05","LIRO","LIRO.AOS.riparian.point.07","lake",45.995426,-89.704281,0.3,496.3,0.5,"WGS84","2017-09-19","2017-09-19","LIRO.20170919.07","NEON.DOC.001295vD",,,,"fixed","jhudson@neoninc.org","hbeeler@battelleecology.org","radams@battelleecology.org","kstyers@battelleecology.org",
"de7f348c-03c5-4290-b2de-5817b5970d56","D05","LIRO","LIRO.AOS.riparian.point.09","lake",45.997072,-89.705716,0.2,500.2,0.2,"WGS84","2017-09-19","2017-09-19","LIRO.20170919.09","NEON.DOC.001295vD",,"calm",,"fixed","jhudson@neoninc.org","hbeeler@battelleecology.org","radams@battelleecology.org","shoffman@field-ops.org",
"0420659e-834e-4479-afd4-c812e5ddf94b","D05","LIRO","LIRO.AOS.riparian.point.05","lake",45.995340,-89.698224,0.2,501.7,0.2,"WGS84","2017-09-20","2017-09-20","LIRO.20170920.05","NEON.DOC.001295vD",,,,"random","jhudson@neoninc.org","hbeeler@battelleecology.org","radams@battelleecology.org","shoffman@field-ops.org",
"3e13ff2a-5f12-4304-84d0-eed82da37530","D05","LIRO","LIRO.AOS.riparian.point.04","lake",45.997032,-89.700316,0.1,495.3,0.1,"WGS84","2017-09-20","2017-09-20","LIRO.20170920.04","NEON.DOC.001296vC",,,,"random","jhudson@battelleecology.org",,,,
"6ae60d01-dcfb-47e3-b9e2-fec211670173","D05","LIRO","LIRO.AOS.riparian.point.05","lake",45.995340,-89.698224,0.2,501.7,0.2,"WGS84","2017-09-20","2017-09-20","LIRO.20170920.05","NEON.DOC.001296vC",,,,"random","jhudson@battelleecology.org",,,,
"023567ad-dfe0-43c6-966e-2ad12c0de8f8","D05","LIRO","LIRO.AOS.riparian.point.04","lake",45.997032,-89.700316,0.1,495.3,0.1,"WGS84","2017-09-20","2017-09-20","LIRO.20170920.04","NEON.DOC.001295vD",,"heavy vegetation",,"random","jhudson@neoninc.org","hbeeler@battelleecology.org","radams@battelleecology.org","shoffman@field-ops.org",
